,date,time,open,high,low,close,tickvol,vol,spread,label,exit_index
162,7/01/2020,3:00:00 PM,1.11746,1.11779,1.11676,1.11737,1415,0,1,-1,166.0
163,7/01/2020,3:30:00 PM,1.11737,1.11737,1.11547,1.11561,1394,0,1,-1,205.0
164,7/01/2020,4:00:00 PM,1.1156,1.11622,1.1155,1.11576,1041,0,1,-1,205.0
165,7/01/2020,4:30:00 PM,1.11576,1.11598,1.11464,1.11476,1621,0,1,-1,209.0
166,7/01/2020,5:00:00 PM,1.11457,1.11517,1.11377,1.11397,1885,0,1,-1,216.0
167,7/01/2020,5:30:00 PM,1.11397,1.11426,1.11342,1.11416,1689,0,1,-1,216.0
168,7/01/2020,6:00:00 PM,1.11416,1.1144,1.11335,1.11384,1171,0,1,-1,216.0
169,7/01/2020,6:30:00 PM,1.11385,1.11392,1.11341,1.1137,718,0,1,-1,227.0
170,7/01/2020,7:00:00 PM,1.11368,1.1146,1.11367,1.1144,765,0,1,-1,209.0
171,7/01/2020,7:30:00 PM,1.1144,1.11471,1.11417,1.11424,770,0,1,-1,210.0
172,7/01/2020,8:00:00 PM,1.11424,1.11495,1.11413,1.11489,554,0,2,-1,209.0
173,7/01/2020,8:30:00 PM,1.11489,1.11492,1.11433,1.11435,388,0,1,-1,210.0
174,7/01/2020,9:00:00 PM,1.11435,1.11442,1.11417,1.11432,665,0,2,-1,210.0
175,7/01/2020,9:30:00 PM,1.11432,1.11448,1.11419,1.11444,577,0,1,-1,209.0
176,7/01/2020,10:00:00 PM,1.11444,1.11475,1.11444,1.11464,414,0,1,-1,209.0
177,7/01/2020,10:30:00 PM,1.11464,1.11464,1.11421,1.11437,383,0,2,-1,210.0
178,7/01/2020,11:00:00 PM,1.11437,1.11464,1.11437,1.11456,273,0,2,-1,209.0
179,7/01/2020,11:30:00 PM,1.11456,1.11536,1.1145,1.11526,706,0,2,-1,209.0
180,8/01/2020,12:00:00 AM,1.11529,1.11536,1.11476,1.11488,387,0,2,-1,209.0
181,8/01/2020,12:30:00 AM,1.11488,1.11494,1.11439,1.11473,517,0,4,-1,209.0
182,8/01/2020,1:00:00 AM,1.11473,1.11539,1.1146,1.11522,676,0,1,-1,208.0
183,8/01/2020,1:30:00 AM,1.11522,1.11543,1.11475,1.11538,1030,0,1,-1,208.0
184,8/01/2020,2:00:00 AM,1.11537,1.11681,1.11524,1.11624,2424,0,1,-1,201.0
185,8/01/2020,2:30:00 AM,1.11624,1.11654,1.11585,1.11585,1681,0,1,-1,204.0
186,8/01/2020,3:00:00 AM,1.11585,1.11631,1.11584,1.11589,1483,0,2,-1,204.0
187,8/01/2020,3:30:00 AM,1.11589,1.11625,1.11548,1.11556,1392,0,1,-1,205.0
188,8/01/2020,4:00:00 AM,1.11556,1.1157,1.11539,1.11551,1137,0,1,-1,205.0
189,8/01/2020,4:30:00 AM,1.11551,1.11613,1.1153,1.11586,1272,0,1,-1,204.0
190,8/01/2020,5:00:00 AM,1.11585,1.11591,1.11564,1.1157,938,0,2,-1,205.0
191,8/01/2020,5:30:00 AM,1.1157,1.11581,1.11535,1.11546,544,0,2,-1,208.0
192,8/01/2020,6:00:00 AM,1.11546,1.11557,1.11505,1.11505,411,0,2,-1,209.0
193,8/01/2020,6:30:00 AM,1.11505,1.11506,1.11451,1.11476,414,0,1,-1,209.0
194,8/01/2020,7:00:00 AM,1.11476,1.11497,1.11472,1.11492,676,0,2,-1,209.0
195,8/01/2020,7:30:00 AM,1.11492,1.11512,1.11478,1.1149,547,0,2,-1,209.0
196,8/01/2020,8:00:00 AM,1.11489,1.11538,1.11484,1.11528,567,0,2,-1,208.0
197,8/01/2020,8:30:00 AM,1.1153,1.11533,1.11485,1.115,727,0,2,-1,209.0
198,8/01/2020,9:00:00 AM,1.115,1.11547,1.11446,1.11452,1479,0,1,-1,209.0
199,8/01/2020,9:30:00 AM,1.11452,1.11548,1.11431,1.11511,1455,0,1,-1,209.0
200,8/01/2020,10:00:00 AM,1.11511,1.11532,1.1131,1.11373,2111,0,1,-1,226.0
201,8/01/2020,10:30:00 AM,1.11373,1.11373,1.11301,1.11351,1524,0,1,-1,227.0
202,8/01/2020,11:00:00 AM,1.11348,1.11354,1.11253,1.1135,1304,0,1,-1,227.0
203,8/01/2020,11:30:00 AM,1.1135,1.11447,1.11341,1.11384,1122,0,1,-1,216.0
204,8/01/2020,12:00:00 PM,1.11382,1.11385,1.113,1.11307,1267,0,1,-1,251.0
205,8/01/2020,12:30:00 PM,1.11307,1.11328,1.11253,1.11273,958,0,1,-1,251.0
206,8/01/2020,1:00:00 PM,1.11273,1.11309,1.11197,1.11286,1017,0,1,-1,251.0
207,8/01/2020,1:30:00 PM,1.11286,1.1131,1.11246,1.11272,1070,0,1,-1,251.0
208,8/01/2020,2:00:00 PM,1.11271,1.11309,1.1122,1.11247,977,0,1,-1,298.0
209,8/01/2020,2:30:00 PM,1.11247,1.11262,1.11137,1.11166,1271,0,1,1,446.0
210,8/01/2020,3:00:00 PM,1.11166,1.11193,1.1111,1.11147,1735,0,1,1,360.0
211,8/01/2020,3:30:00 PM,1.11147,1.11222,1.11145,1.11199,1059,0,1,-1,301.0
212,8/01/2020,4:00:00 PM,1.11199,1.11247,1.11174,1.11247,975,0,1,-1,298.0
213,8/01/2020,4:30:00 PM,1.11247,1.11268,1.11175,1.11245,1211,0,1,-1,298.0
214,8/01/2020,5:00:00 PM,1.11243,1.11308,1.11223,1.11238,1197,0,1,-1,298.0
215,8/01/2020,5:30:00 PM,1.11237,1.11239,1.11152,1.11197,1390,0,1,-1,301.0
216,8/01/2020,6:00:00 PM,1.11197,1.11201,1.11086,1.11113,1025,0,1,1,360.0
217,8/01/2020,6:30:00 PM,1.11113,1.11179,1.11101,1.11162,2357,0,1,1,360.0
218,8/01/2020,7:00:00 PM,1.11164,1.11258,1.11155,1.11207,1613,0,1,-1,301.0
219,8/01/2020,7:30:00 PM,1.11207,1.11217,1.11132,1.11179,873,0,1,1,446.0
220,8/01/2020,8:00:00 PM,1.11178,1.11178,1.11104,1.11146,1046,0,1,1,360.0
221,8/01/2020,8:30:00 PM,1.11146,1.11157,1.11106,1.11131,540,0,2,1,360.0
222,8/01/2020,9:00:00 PM,1.11131,1.1114,1.11082,1.11102,436,0,2,1,360.0
223,8/01/2020,9:30:00 PM,1.11102,1.11127,1.11098,1.1111,533,0,2,1,360.0
224,8/01/2020,10:00:00 PM,1.11112,1.11119,1.11098,1.11113,397,0,1,1,360.0
225,8/01/2020,10:30:00 PM,1.11113,1.11147,1.11104,1.11118,1057,0,2,1,360.0
226,8/01/2020,11:00:00 PM,1.11118,1.11126,1.11083,1.11093,330,0,2,1,360.0
227,8/01/2020,11:30:00 PM,1.11093,1.11093,1.11016,1.11053,467,0,2,1,360.0
228,9/01/2020,12:00:00 AM,1.11053,1.11132,1.11033,1.11105,375,0,2,1,360.0
229,9/01/2020,12:30:00 AM,1.11099,1.11131,1.11086,1.11095,195,0,5,1,360.0
230,9/01/2020,1:00:00 AM,1.11097,1.11104,1.11072,1.11102,181,0,2,1,360.0
231,9/01/2020,1:30:00 AM,1.11102,1.11129,1.11097,1.11129,186,0,2,1,360.0
232,9/01/2020,2:00:00 AM,1.11129,1.11143,1.11092,1.11133,828,0,1,1,360.0
233,9/01/2020,2:30:00 AM,1.11133,1.11157,1.11122,1.11132,504,0,2,1,360.0
234,9/01/2020,3:00:00 AM,1.11132,1.11149,1.11111,1.11133,524,0,2,1,360.0
235,9/01/2020,3:30:00 AM,1.11133,1.11193,1.11131,1.11173,687,0,2,1,446.0
236,9/01/2020,4:00:00 AM,1.11173,1.11189,1.11152,1.1116,404,0,3,1,446.0
237,9/01/2020,4:30:00 AM,1.1116,1.11173,1.11145,1.11152,311,0,2,1,360.0
238,9/01/2020,5:00:00 AM,1.11152,1.11161,1.11141,1.11159,337,0,1,1,360.0
239,9/01/2020,5:30:00 AM,1.11159,1.11178,1.11152,1.11153,215,0,2,1,360.0
240,9/01/2020,6:00:00 AM,1.11152,1.11157,1.11126,1.11136,179,0,2,1,360.0
241,9/01/2020,6:30:00 AM,1.11136,1.11157,1.11132,1.11153,232,0,2,1,360.0
242,9/01/2020,7:00:00 AM,1.11153,1.1117,1.1115,1.11167,262,0,2,1,446.0
243,9/01/2020,7:30:00 AM,1.11167,1.11189,1.11161,1.11182,296,0,1,1,446.0
244,9/01/2020,8:00:00 AM,1.11181,1.11189,1.11146,1.11147,424,0,3,1,446.0
245,9/01/2020,8:30:00 AM,1.11147,1.11156,1.1111,1.11122,751,0,1,1,360.0
246,9/01/2020,9:00:00 AM,1.11122,1.11164,1.11111,1.11155,923,0,1,1,360.0
247,9/01/2020,9:30:00 AM,1.11155,1.11203,1.11131,1.11152,1069,0,2,1,360.0
248,9/01/2020,10:00:00 AM,1.11151,1.11162,1.11051,1.11116,1182,0,1,1,360.0
249,9/01/2020,10:30:00 AM,1.11116,1.11176,1.11106,1.11172,868,0,2,1,446.0
250,9/01/2020,11:00:00 AM,1.11172,1.1119,1.11103,1.11105,1189,0,1,1,360.0
251,9/01/2020,11:30:00 AM,1.11104,1.11111,1.10983,1.10993,1578,0,1,1,335.0
252,9/01/2020,12:00:00 PM,1.10994,1.11039,1.10965,1.11037,947,0,1,1,359.0
253,9/01/2020,12:30:00 PM,1.11037,1.11116,1.1103,1.11095,868,0,1,1,360.0
254,9/01/2020,1:00:00 PM,1.11095,1.11126,1.11083,1.11099,772,0,1,1,360.0
255,9/01/2020,1:30:00 PM,1.111,1.11107,1.11034,1.11046,576,0,1,1,359.0
256,9/01/2020,2:00:00 PM,1.11046,1.11127,1.11033,1.1111,999,0,1,1,360.0
257,9/01/2020,2:30:00 PM,1.1111,1.11166,1.11106,1.11135,1065,0,1,1,360.0
258,9/01/2020,3:00:00 PM,1.11135,1.11143,1.11059,1.11115,1151,0,1,1,360.0
259,9/01/2020,3:30:00 PM,1.11115,1.11173,1.11109,1.11148,1028,0,1,1,360.0
260,9/01/2020,4:00:00 PM,1.11149,1.11149,1.11038,1.11062,954,0,1,1,360.0
261,9/01/2020,4:30:00 PM,1.11062,1.11101,1.11046,1.11083,950,0,1,1,360.0
262,9/01/2020,5:00:00 PM,1.11082,1.11106,1.11023,1.11062,934,0,1,1,360.0
263,9/01/2020,5:30:00 PM,1.11063,1.11063,1.10923,1.11022,1559,0,1,1,339.0
264,9/01/2020,6:00:00 PM,1.11023,1.11024,1.10935,1.10979,983,0,1,1,314.0
265,9/01/2020,6:30:00 PM,1.10979,1.1106,1.10976,1.11059,883,0,1,1,359.0
266,9/01/2020,7:00:00 PM,1.11059,1.11095,1.11037,1.11091,712,0,1,1,360.0
267,9/01/2020,7:30:00 PM,1.11091,1.11112,1.11046,1.11046,493,0,2,1,359.0
268,9/01/2020,8:00:00 PM,1.11046,1.11087,1.11034,1.11071,752,0,1,1,360.0
