Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-11-23 07:50:00+00:00,1.12331,2021-11-23 08:45:00+00:00,1.12375,-0.0006399999999999947
buy,2021-11-23 08:50:00+00:00,1.124,2021-11-23 12:55:00+00:00,1.12566,0.001459999999999996
short,2021-11-23 13:10:00+00:00,1.12578,2021-11-23 15:05:00+00:00,1.12478,0.0008000000000001131
buy,2021-11-23 15:10:00+00:00,1.12516,2021-11-23 16:45:00+00:00,1.12449,-0.0008699999999999472
buy,2021-11-23 17:45:00+00:00,1.1252,2021-11-23 19:35:00+00:00,1.12621,0.0008099999999999566
short,2021-11-23 19:40:00+00:00,1.12616,2021-11-23 22:05:00+00:00,1.12496,0.001000000000000091
buy,2021-11-23 22:10:00+00:00,1.12525,2021-11-24 00:00:00+00:00,1.1248,-0.0006500000000000603
short,2021-11-24 01:15:00+00:00,1.12466,2021-11-24 06:40:00+00:00,1.12382,0.0006399999999999531
buy,2021-11-24 06:45:00+00:00,1.12394,2021-11-24 10:20:00+00:00,1.1247,0.0005600000000000951
short,2021-11-24 10:45:00+00:00,1.12361,2021-11-24 13:45:00+00:00,1.12188,0.0015300000000000105
buy,2021-11-24 13:50:00+00:00,1.12184,2021-11-24 14:20:00+00:00,1.1211,-0.0009399999999999617
short,2021-11-24 15:00:00+00:00,1.12076,2021-11-24 16:40:00+00:00,1.12068,-0.00011999999999991878
short,2021-11-24 18:00:00+00:00,1.11962,2021-11-24 21:40:00+00:00,1.11967,-0.00024999999999988226
buy,2021-11-24 21:45:00+00:00,1.11984,2021-11-25 00:00:00+00:00,1.11966,-0.00037999999999984574
buy,2021-11-25 01:25:00+00:00,1.12011,2021-11-25 07:10:00+00:00,1.12133,0.00102
short,2021-11-25 07:25:00+00:00,1.12133,2021-11-25 08:05:00+00:00,1.12141,-0.0002800000000000788
buy,2021-11-25 09:00:00+00:00,1.1214,2021-11-25 13:15:00+00:00,1.12189,0.0002900000000001027
short,2021-11-25 13:20:00+00:00,1.12192,2021-11-25 14:25:00+00:00,1.12215,-0.00042999999999995125
buy,2021-11-25 14:30:00+00:00,1.12247,2021-11-25 14:55:00+00:00,1.12202,-0.0006500000000000603
short,2021-11-25 16:45:00+00:00,1.12159,2021-11-25 22:20:00+00:00,1.12098,0.00041000000000000064
short,2021-11-25 23:00:00+00:00,1.12078,2021-11-26 00:30:00+00:00,1.12123,-0.0006499999999998382
buy,2021-11-26 01:25:00+00:00,1.12108,2021-11-26 04:10:00+00:00,1.12126,-2.000000000015184e-05
buy,2021-11-26 05:00:00+00:00,1.12238,2021-11-26 14:15:00+00:00,1.1279,0.005319999999999971
short,2021-11-26 14:20:00+00:00,1.12776,2021-11-26 14:55:00+00:00,1.12896,-0.0013999999999998666
buy,2021-11-26 15:55:00+00:00,1.1291,2021-11-26 19:10:00+00:00,1.12971,0.00041000000000000064
short,2021-11-26 19:15:00+00:00,1.12974,2021-11-26 20:25:00+00:00,1.13063,-0.0010900000000000562
buy,2021-11-26 20:30:00+00:00,1.13111,2021-11-26 23:55:00+00:00,1.13159,0.00028000000000003716
short,2021-11-29 00:00:00+00:00,1.13014,2021-11-29 07:25:00+00:00,1.12799,0.0019499999999998754
buy,2021-11-29 07:45:00+00:00,1.12809,2021-11-29 08:55:00+00:00,1.12778,-0.0005100000000000313
short,2021-11-29 09:00:00+00:00,1.12721,2021-11-29 10:40:00+00:00,1.12721,-0.0001999999999999988
buy,2021-11-29 10:55:00+00:00,1.1273,2021-11-29 14:55:00+00:00,1.12863,0.0011300000000000546
short,2021-11-29 15:00:00+00:00,1.12796,2021-11-29 20:05:00+00:00,1.12707,0.0006900000000000586
buy,2021-11-29 20:10:00+00:00,1.12722,2021-11-30 02:15:00+00:00,1.12889,0.0014699999999998395
short,2021-11-30 02:25:00+00:00,1.12881,2021-11-30 03:40:00+00:00,1.12927,-0.0006599999999999037
buy,2021-11-30 03:45:00+00:00,1.12938,2021-11-30 06:10:00+00:00,1.12982,0.00023999999999999716
short,2021-11-30 06:15:00+00:00,1.12986,2021-11-30 07:15:00+00:00,1.13015,-0.0004899999999999002
buy,2021-11-30 07:20:00+00:00,1.13065,2021-11-30 13:25:00+00:00,1.13579,0.004940000000000146
short,2021-11-30 13:30:00+00:00,1.13558,2021-11-30 15:05:00+00:00,1.13593,-0.0005500000000000713
buy,2021-11-30 15:10:00+00:00,1.13617,2021-11-30 17:30:00+00:00,1.1374,0.0010300000000000656
short,2021-11-30 17:35:00+00:00,1.13591,2021-11-30 19:40:00+00:00,1.13073,0.004979999999999964
buy,2021-11-30 19:50:00+00:00,1.13086,2021-12-01 01:45:00+00:00,1.13339,0.0023299999999999224
short,2021-12-01 01:50:00+00:00,1.13308,2021-12-01 05:15:00+00:00,1.13274,0.00014000000000000817
buy,2021-12-01 05:20:00+00:00,1.13283,2021-12-01 09:10:00+00:00,1.13325,0.00022000000000008818
short,2021-12-01 09:15:00+00:00,1.13286,2021-12-01 10:00:00+00:00,1.13406,-0.0014000000000000887
short,2021-12-01 10:30:00+00:00,1.13215,2021-12-01 12:00:00+00:00,1.13257,-0.0006200000000000858
buy,2021-12-01 12:05:00+00:00,1.13343,2021-12-01 14:15:00+00:00,1.13202,-0.0016099999999999101
short,2021-12-01 14:20:00+00:00,1.13183,2021-12-01 15:25:00+00:00,1.13275,-0.0011200000000000307
buy,2021-12-01 15:30:00+00:00,1.13282,2021-12-01 17:55:00+00:00,1.13412,0.00110000000000008
short,2021-12-01 18:00:00+00:00,1.13346,2021-12-01 21:00:00+00:00,1.13278,0.00048000000000001514
short,2021-12-01 21:15:00+00:00,1.13178,2021-12-01 23:45:00+00:00,1.13194,-0.00035999999999993676
buy,2021-12-01 23:55:00+00:00,1.13192,2021-12-02 02:50:00+00:00,1.1317,-0.0004200000000001078
buy,2021-12-02 03:15:00+00:00,1.13197,2021-12-02 05:55:00+00:00,1.13311,0.0009400000000001421
short,2021-12-02 06:10:00+00:00,1.13319,2021-12-02 08:30:00+00:00,1.13243,0.0005599999999998731
buy,2021-12-02 08:35:00+00:00,1.13247,2021-12-02 09:15:00+00:00,1.13177,-0.0009000000000001437
short,2021-12-02 09:20:00+00:00,1.1316,2021-12-02 16:35:00+00:00,1.1344,-0.0030000000000001345
buy,2021-12-02 16:45:00+00:00,1.13456,2021-12-02 18:10:00+00:00,1.13149,-0.003269999999999905
short,2021-12-02 18:15:00+00:00,1.13117,2021-12-02 21:00:00+00:00,1.13039,0.0005800000000000041
buy,2021-12-02 21:05:00+00:00,1.13071,2021-12-02 21:50:00+00:00,1.12974,-0.0011700000000001362
short,2021-12-02 21:55:00+00:00,1.12971,2021-12-03 01:00:00+00:00,1.13014,-0.0006299999999999292
short,2021-12-03 01:10:00+00:00,1.13004,2021-12-03 01:20:00+00:00,1.13008,-0.0002400000000000388
buy,2021-12-03 01:25:00+00:00,1.13034,2021-12-03 03:00:00+00:00,1.13012,-0.00041999999999988574
short,2021-12-03 03:05:00+00:00,1.12965,2021-12-03 07:50:00+00:00,1.1299,-0.00044999999999986023
buy,2021-12-03 07:55:00+00:00,1.13017,2021-12-03 08:20:00+00:00,1.1297,-0.0006699999999999692
short,2021-12-03 08:30:00+00:00,1.12972,2021-12-03 10:20:00+00:00,1.1295,2.0000000000110207e-05
buy,2021-12-03 12:00:00+00:00,1.12974,2021-12-03 14:50:00+00:00,1.13057,0.0006300000000001096
short,2021-12-03 14:55:00+00:00,1.12994,2021-12-03 18:25:00+00:00,1.12874,0.000999999999999869
buy,2021-12-03 18:30:00+00:00,1.12967,2021-12-03 22:05:00+00:00,1.13143,0.001559999999999985
short,2021-12-03 22:10:00+00:00,1.13113,2021-12-06 09:30:00+00:00,1.12835,0.002580000000000006
buy,2021-12-06 09:35:00+00:00,1.12858,2021-12-06 09:45:00+00:00,1.12818,-0.0005999999999999547
short,2021-12-06 09:50:00+00:00,1.12789,2021-12-06 10:10:00+00:00,1.12866,-0.0009699999999999362
buy,2021-12-06 10:25:00+00:00,1.12848,2021-12-06 13:35:00+00:00,1.13014,0.001459999999999996
short,2021-12-06 13:40:00+00:00,1.12963,2021-12-06 16:10:00+00:00,1.13014,-0.0007100000000000092
short,2021-12-06 17:35:00+00:00,1.12839,2021-12-06 20:55:00+00:00,1.12805,0.00014000000000000817
buy,2021-12-06 21:00:00+00:00,1.12826,2021-12-07 02:10:00+00:00,1.12825,-0.0002100000000000643
short,2021-12-07 02:15:00+00:00,1.12821,2021-12-07 04:05:00+00:00,1.12819,-0.0001800000000000898
buy,2021-12-07 04:10:00+00:00,1.12848,2021-12-07 06:40:00+00:00,1.12886,0.00018000000000004818
short,2021-12-07 06:45:00+00:00,1.12875,2021-12-07 08:05:00+00:00,1.12901,-0.0004600000000001478
buy,2021-12-07 08:20:00+00:00,1.12907,2021-12-07 09:50:00+00:00,1.12897,-0.0002999999999999878
short,2021-12-07 10:00:00+00:00,1.12886,2021-12-07 17:10:00+00:00,1.1247,0.003959999999999943
buy,2021-12-07 17:15:00+00:00,1.12484,2021-12-08 08:45:00+00:00,1.12893,0.0038899999999999282
short,2021-12-08 08:50:00+00:00,1.12884,2021-12-08 12:30:00+00:00,1.12864,-2.0816681711721685e-17
buy,2021-12-08 12:35:00+00:00,1.12944,2021-12-08 13:45:00+00:00,1.12759,-0.002049999999999906
short,2021-12-08 14:15:00+00:00,1.12719,2021-12-08 14:35:00+00:00,1.12819,-0.0012000000000001107
buy,2021-12-08 14:45:00+00:00,1.12909,2021-12-08 23:15:00+00:00,1.13482,0.005530000000000014
short,2021-12-08 23:20:00+00:00,1.13472,2021-12-09 01:50:00+00:00,1.13438,0.00014000000000000817
short,2021-12-09 02:45:00+00:00,1.13406,2021-12-09 06:35:00+00:00,1.13355,0.0003100000000000047
buy,2021-12-09 06:40:00+00:00,1.13362,2021-12-09 07:40:00+00:00,1.13329,-0.0005300000000001623
short,2021-12-09 07:55:00+00:00,1.13332,2021-12-09 15:25:00+00:00,1.13193,0.0011900000000000036
short,2021-12-09 16:45:00+00:00,1.13087,2021-12-09 19:45:00+00:00,1.12903,0.001640000000000058
buy,2021-12-09 22:45:00+00:00,1.12934,2021-12-10 00:05:00+00:00,1.12908,-0.0004599999999999327
short,2021-12-10 00:15:00+00:00,1.12888,2021-12-10 01:00:00+00:00,1.12939,-0.0007099999999997941
buy,2021-12-10 01:05:00+00:00,1.12956,2021-12-10 02:50:00+00:00,1.12932,-0.00043999999999980166
short,2021-12-10 02:55:00+00:00,1.12903,2021-12-10 03:45:00+00:00,1.12944,-0.0006100000000000272
buy,2021-12-10 04:00:00+00:00,1.1297,2021-12-10 09:05:00+00:00,1.12974,-0.00015999999999996573
short,2021-12-10 09:10:00+00:00,1.12931,2021-12-10 14:10:00+00:00,1.12739,0.001720000000000138
buy,2021-12-10 14:40:00+00:00,1.12737,2021-12-10 15:25:00+00:00,1.12719,-0.0003800000000000747
buy,2021-12-10 15:30:00+00:00,1.12726,2021-12-10 21:10:00+00:00,1.13144,0.003980000000000067
short,2021-12-10 21:15:00+00:00,1.13132,2021-12-10 22:55:00+00:00,1.13153,-0.00040999999999982717
buy,2021-12-10 23:00:00+00:00,1.13174,2021-12-13 00:05:00+00:00,1.13118,-0.0007599999999998996
short,2021-12-13 00:10:00+00:00,1.13113,2021-12-13 01:25:00+00:00,1.13168,-0.0007500000000000562
buy,2021-12-13 01:30:00+00:00,1.1319,2021-12-13 02:50:00+00:00,1.13116,-0.0009399999999999686
short,2021-12-13 02:55:00+00:00,1.13081,2021-12-13 10:10:00+00:00,1.12887,0.001740000000000047
short,2021-12-13 10:35:00+00:00,1.12849,2021-12-13 13:25:00+00:00,1.12722,0.0010699999999998766
buy,2021-12-13 13:30:00+00:00,1.12765,2021-12-13 17:10:00+00:00,1.12838,0.0005299999999998917
short,2021-12-13 17:15:00+00:00,1.12773,2021-12-13 18:25:00+00:00,1.12936,-0.001830000000000026
buy,2021-12-13 18:30:00+00:00,1.12932,2021-12-13 21:15:00+00:00,1.12926,-0.00026000000000017676
short,2021-12-13 21:45:00+00:00,1.12919,2021-12-14 02:10:00+00:00,1.12829,0.0006999999999998952
short,2021-12-14 02:20:00+00:00,1.12825,2021-12-14 04:00:00+00:00,1.12816,-0.00011000000000008225
buy,2021-12-14 05:00:00+00:00,1.12829,2021-12-14 05:30:00+00:00,1.12777,-0.0007200000000000817
short,2021-12-14 05:40:00+00:00,1.12779,2021-12-14 07:25:00+00:00,1.12772,-0.00012999999999999123
buy,2021-12-14 07:30:00+00:00,1.12777,2021-12-14 08:50:00+00:00,1.12777,-0.00020000000000000573
short,2021-12-14 08:55:00+00:00,1.12772,2021-12-14 10:35:00+00:00,1.12806,-0.0005400000000000127
buy,2021-12-14 10:40:00+00:00,1.12807,2021-12-14 14:50:00+00:00,1.13149,0.003220000000000195
short,2021-12-14 14:55:00+00:00,1.1312,2021-12-14 19:40:00+00:00,1.12753,0.0034700000000000564
short,2021-12-14 20:25:00+00:00,1.12671,2021-12-15 02:05:00+00:00,1.12576,0.0007500000000000007
buy,2021-12-15 02:10:00+00:00,1.12601,2021-12-15 04:35:00+00:00,1.12652,0.0003100000000000047
short,2021-12-15 04:40:00+00:00,1.12634,2021-12-15 06:50:00+00:00,1.12643,-0.00029000000000015125
buy,2021-12-15 07:05:00+00:00,1.12649,2021-12-15 09:30:00+00:00,1.127,0.0003100000000000047
short,2021-12-15 09:35:00+00:00,1.12682,2021-12-15 11:15:00+00:00,1.12746,-0.0008399999999999797
buy,2021-12-15 11:20:00+00:00,1.1275,2021-12-15 12:30:00+00:00,1.12697,-0.0007299999999999252
short,2021-12-15 12:40:00+00:00,1.12701,2021-12-15 14:05:00+00:00,1.12725,-0.0004400000000000237
buy,2021-12-15 14:20:00+00:00,1.12711,2021-12-15 14:55:00+00:00,1.12652,-0.0007900000000000962
short,2021-12-15 15:05:00+00:00,1.12646,2021-12-15 18:20:00+00:00,1.12611,0.00015000000000006675
buy,2021-12-15 18:25:00+00:00,1.12642,2021-12-15 20:40:00+00:00,1.12576,-0.0008599999999998886
short,2021-12-15 20:45:00+00:00,1.12559,2021-12-15 21:50:00+00:00,1.12568,-0.0002899999999999292
buy,2021-12-15 21:55:00+00:00,1.12715,2021-12-16 02:00:00+00:00,1.12905,0.001700000000000007
short,2021-12-16 02:05:00+00:00,1.12881,2021-12-16 04:10:00+00:00,1.12844,0.00016999999999997573
buy,2021-12-16 04:15:00+00:00,1.12903,2021-12-16 06:05:00+00:00,1.12854,-0.0006899999999998851
short,2021-12-16 06:25:00+00:00,1.12853,2021-12-16 08:35:00+00:00,1.12892,-0.0005899999999998962
buy,2021-12-16 08:45:00+00:00,1.12886,2021-12-16 12:30:00+00:00,1.13119,0.0021299999999999375
short,2021-12-16 12:35:00+00:00,1.13099,2021-12-16 14:30:00+00:00,1.13095,-0.00015999999999996573
