,time,open,high,low,close,bid,ask,action,P/L,Total profit
4613,2022-03-10 05:15:00,0.73172,0.73181,0.73154,0.73178,0.73172,0.73172,buy,0,-0.029540000000000365
4614,2022-03-10 05:30:00,0.73178,0.73232,0.73173,0.73211,0.73178,0.7318,hold,0.00013000000000005246,-0.029540000000000365
4615,2022-03-10 05:45:00,0.73211,0.73236,0.73187,0.73229,0.73211,0.73212,hold,0.00031000000000001046,-0.029540000000000365
4616,2022-03-10 06:00:00,0.73228,0.73238,0.73173,0.73186,0.73228,0.73229,hold,-0.00012000000000003102,-0.029540000000000365
4617,2022-03-10 06:15:00,0.73185,0.73234,0.73173,0.73234,0.73185,0.73185,hold,0.00036000000000000496,-0.029540000000000365
4618,2022-03-10 06:30:00,0.73235,0.73271,0.73199,0.73253,0.73235,0.73237,hold,0.0005500000000000284,-0.029540000000000365
4619,2022-03-10 06:45:00,0.73253,0.7326,0.73194,0.73212,0.73253,0.73253,hold,0.00014000000000000695,-0.029540000000000365
4620,2022-03-10 07:00:00,0.73214,0.7322,0.73174,0.73174,0.73214,0.73214,hold,-0.00024000000000004,-0.029540000000000365
4621,2022-03-10 07:15:00,0.73174,0.73176,0.73088,0.73099,0.73174,0.73175,hold,-0.0009899999999999575,-0.029540000000000365
4622,2022-03-10 07:30:00,0.73101,0.73191,0.73098,0.73184,0.73101,0.73103,hold,-0.00013999999999994,-0.029540000000000365
4623,2022-03-10 07:45:00,0.73184,0.73226,0.7318,0.73216,0.73184,0.73184,hold,0.00018000000000004696,-0.029540000000000365
4624,2022-03-10 08:00:00,0.73216,0.73276,0.73176,0.73273,0.73216,0.73216,hold,0.0007500000000000064,-0.029540000000000365
4625,2022-03-10 08:15:00,0.73273,0.73327,0.73268,0.73304,0.73273,0.73273,hold,0.0010600000000000388,-0.029540000000000365
4626,2022-03-10 08:30:00,0.73305,0.7335,0.73296,0.73346,0.73305,0.73305,hold,0.0014800000000000147,-0.029540000000000365
4627,2022-03-10 08:45:00,0.73347,0.7336,0.73317,0.73334,0.73347,0.73348,hold,0.0013600000000000057,-0.029540000000000365
4628,2022-03-10 09:00:00,0.73334,0.73398,0.73302,0.73395,0.73334,0.73335,hold,0.001970000000000005,-0.029540000000000365
4629,2022-03-10 09:15:00,0.73392,0.73447,0.73372,0.73397,0.73392,0.73392,hold,0.001990000000000025,-0.029540000000000365
4630,2022-03-10 09:30:00,0.73397,0.73409,0.73378,0.73403,0.73397,0.73398,sell,0.002,-0.027540000000000363
4631,2022-03-10 09:45:00,0.73404,0.73451,0.73387,0.73448,0.73404,0.73406,hold,0,-0.027540000000000363
4632,2022-03-10 10:00:00,0.7345,0.7346,0.73357,0.73404,0.7345,0.73451,hold,0,-0.027540000000000363
4633,2022-03-10 10:15:00,0.73403,0.73427,0.73269,0.73319,0.73403,0.73405,hold,0,-0.027540000000000363
4634,2022-03-10 10:30:00,0.73319,0.73367,0.73289,0.73331,0.73319,0.73323,hold,0,-0.027540000000000363
4635,2022-03-10 10:45:00,0.73332,0.73361,0.73301,0.73329,0.73332,0.73332,hold,0,-0.027540000000000363
4636,2022-03-10 11:00:00,0.7333,0.73432,0.73329,0.73378,0.7333,0.73332,hold,0,-0.027540000000000363
4637,2022-03-10 11:15:00,0.73378,0.73426,0.73341,0.73419,0.73378,0.7338,hold,0,-0.027540000000000363
4638,2022-03-10 11:30:00,0.73419,0.73451,0.7337,0.73415,0.73419,0.73421,hold,0,-0.027540000000000363
4639,2022-03-10 11:45:00,0.73415,0.73437,0.73342,0.73373,0.73415,0.73417,hold,0,-0.027540000000000363
4640,2022-03-10 12:00:00,0.73373,0.73419,0.73357,0.73366,0.73373,0.73375,hold,0,-0.027540000000000363
4641,2022-03-10 12:15:00,0.73366,0.73396,0.73336,0.7335,0.73366,0.73366,hold,0,-0.027540000000000363
4642,2022-03-10 12:30:00,0.73351,0.73364,0.73294,0.73338,0.73351,0.73352,hold,0,-0.027540000000000363
4643,2022-03-10 12:45:00,0.73338,0.73363,0.73301,0.73356,0.73338,0.73338,hold,0,-0.027540000000000363
4644,2022-03-10 13:00:00,0.73356,0.73371,0.73302,0.73335,0.73356,0.7336,hold,0,-0.027540000000000363
4645,2022-03-10 13:15:00,0.73335,0.73359,0.73288,0.73292,0.73335,0.73336,hold,0,-0.027540000000000363
4646,2022-03-10 13:30:00,0.73292,0.7333,0.73278,0.73318,0.73292,0.73293,short,0,-0.027540000000000363
4647,2022-03-10 13:45:00,0.73318,0.7332,0.73288,0.73311,0.73318,0.73319,hold,-0.00012999999999998551,-0.027540000000000363
4648,2022-03-10 14:00:00,0.73312,0.73333,0.73284,0.73332,0.73312,0.73313,hold,-0.00033999999999991795,-0.027540000000000363
4649,2022-03-10 14:15:00,0.73332,0.73438,0.7332,0.73433,0.73332,0.73333,short_buy,-0.001,-0.028540000000000364
4650,2022-03-10 14:30:00,0.73434,0.73442,0.73406,0.73411,0.73434,0.73434,buy,0,-0.028540000000000364
4651,2022-03-10 14:45:00,0.73409,0.73487,0.7334,0.73345,0.73409,0.73415,hold,-0.0008599999999999939,-0.028540000000000364
4652,2022-03-10 15:00:00,0.73346,0.73399,0.73312,0.73355,0.73346,0.73347,hold,-0.0007600000000000049,-0.028540000000000364
4653,2022-03-10 15:15:00,0.73355,0.7344,0.73331,0.73382,0.73355,0.73356,hold,-0.0004900000000000125,-0.028540000000000364
4654,2022-03-10 15:30:00,0.73383,0.73593,0.7338,0.73452,0.73383,0.734,hold,0.00020999999999991043,-0.028540000000000364
4655,2022-03-10 15:45:00,0.73452,0.73492,0.73383,0.7347,0.73452,0.73453,hold,0.00038999999999997945,-0.028540000000000364
4656,2022-03-10 16:00:00,0.7347,0.73477,0.73397,0.73439,0.7347,0.73471,hold,7.999999999994695e-05,-0.028540000000000364
4657,2022-03-10 16:15:00,0.73439,0.7344,0.73387,0.73402,0.73439,0.7344,hold,-0.0002900000000000345,-0.028540000000000364
4658,2022-03-10 16:30:00,0.73402,0.73423,0.7334,0.73393,0.73402,0.73402,hold,-0.000380000000000069,-0.028540000000000364
4659,2022-03-10 16:45:00,0.73393,0.73488,0.73388,0.73449,0.73393,0.73394,hold,0.00017999999999993593,-0.028540000000000364
4660,2022-03-10 17:00:00,0.73449,0.73534,0.73414,0.73524,0.73449,0.73449,hold,0.0009299999999999644,-0.028540000000000364
4661,2022-03-10 17:15:00,0.73522,0.73627,0.73519,0.7357,0.73522,0.73524,hold,0.0013899999999999802,-0.028540000000000364
4662,2022-03-10 17:30:00,0.73569,0.73595,0.73512,0.73538,0.73569,0.73569,hold,0.0010699999999999933,-0.028540000000000364
4663,2022-03-10 17:45:00,0.73538,0.73612,0.73538,0.73606,0.73538,0.73538,hold,0.0017500000000000072,-0.028540000000000364
4664,2022-03-10 18:00:00,0.73603,0.73603,0.7351,0.73545,0.73603,0.73603,hold,0.0011400000000000078,-0.028540000000000364
4665,2022-03-10 18:15:00,0.73544,0.73555,0.73498,0.73534,0.73544,0.73545,hold,0.0010299999999999533,-0.028540000000000364
4666,2022-03-10 18:30:00,0.73534,0.73558,0.73491,0.73531,0.73534,0.73534,hold,0.0009999999999999788,-0.028540000000000364
4667,2022-03-10 18:45:00,0.7353,0.73645,0.73518,0.73611,0.7353,0.7353,hold,0.0018000000000000017,-0.028540000000000364
4668,2022-03-10 19:00:00,0.73611,0.73617,0.73576,0.73586,0.73611,0.73611,hold,0.0015499999999999182,-0.028540000000000364
4669,2022-03-10 19:15:00,0.73585,0.7361,0.73568,0.73592,0.73585,0.73587,hold,0.0016099999999999782,-0.028540000000000364
4670,2022-03-10 19:30:00,0.73592,0.7363,0.73592,0.73611,0.73592,0.73593,hold,0.0018000000000000017,-0.028540000000000364
4671,2022-03-10 19:45:00,0.73611,0.73624,0.73577,0.73579,0.73611,0.73612,hold,0.0014800000000000147,-0.028540000000000364
4672,2022-03-10 20:00:00,0.73579,0.73598,0.73542,0.73564,0.73579,0.7358,hold,0.0013299999999999202,-0.028540000000000364
4673,2022-03-10 20:15:00,0.73564,0.73599,0.73564,0.73595,0.73564,0.73564,hold,0.0016399999999999527,-0.028540000000000364
4674,2022-03-10 20:30:00,0.73595,0.73601,0.73582,0.73588,0.73595,0.73595,hold,0.0015699999999999382,-0.028540000000000364
4675,2022-03-10 20:45:00,0.73589,0.73618,0.73589,0.73608,0.73589,0.7359,hold,0.0017699999999999162,-0.028540000000000364
4676,2022-03-10 21:00:00,0.73608,0.73648,0.736,0.736,0.73608,0.73608,hold,0.0016899999999999472,-0.028540000000000364
4677,2022-03-10 21:15:00,0.73599,0.7363,0.73589,0.73619,0.73599,0.736,hold,0.0018799999999999707,-0.028540000000000364
4678,2022-03-10 21:30:00,0.73619,0.7367,0.73608,0.73634,0.73619,0.73619,sell,0.002,-0.026540000000000362
4679,2022-03-10 21:45:00,0.73635,0.73677,0.73622,0.73648,0.73635,0.73636,hold,0,-0.026540000000000362
4680,2022-03-10 22:00:00,0.73649,0.73653,0.73619,0.73639,0.73649,0.73649,hold,0,-0.026540000000000362
4681,2022-03-10 22:15:00,0.7364,0.73649,0.7361,0.73626,0.7364,0.7364,hold,0,-0.026540000000000362
4682,2022-03-10 22:30:00,0.73626,0.73633,0.736,0.73614,0.73626,0.73626,hold,0,-0.026540000000000362
4683,2022-03-10 22:45:00,0.73614,0.73645,0.73569,0.73579,0.73614,0.73615,hold,0,-0.026540000000000362
4684,2022-03-10 23:00:00,0.73579,0.73603,0.73542,0.73599,0.73579,0.73581,hold,0,-0.026540000000000362
4685,2022-03-10 23:15:00,0.73599,0.73608,0.73586,0.73589,0.73599,0.73601,hold,0,-0.026540000000000362
4686,2022-03-10 23:30:00,0.73589,0.73623,0.73572,0.73603,0.73589,0.73592,hold,0,-0.026540000000000362
4687,2022-03-10 23:45:00,0.73603,0.73603,0.73557,0.73577,0.73603,0.73607,hold,0,-0.026540000000000362
4688,2022-03-11 00:15:00,0.73473,0.73533,0.73473,0.73523,0.73473,0.73573,hold,0,-0.026540000000000362
4689,2022-03-11 00:30:00,0.73524,0.73577,0.73523,0.73577,0.73524,0.73589,hold,0,-0.026540000000000362
4690,2022-03-11 00:45:00,0.73577,0.73578,0.73536,0.73538,0.73577,0.73593,hold,0,-0.026540000000000362
4691,2022-03-11 01:00:00,0.73537,0.73621,0.73526,0.73616,0.73537,0.73547,hold,0,-0.026540000000000362
4692,2022-03-11 01:15:00,0.73618,0.73618,0.73556,0.73559,0.73618,0.7362,hold,0,-0.026540000000000362
4693,2022-03-11 01:30:00,0.73559,0.73614,0.73551,0.73611,0.73559,0.73559,hold,0,-0.026540000000000362
4694,2022-03-11 01:45:00,0.73617,0.73672,0.73615,0.73656,0.73617,0.7362,buy,0,-0.026540000000000362
4695,2022-03-11 02:00:00,0.73659,0.73668,0.73611,0.73616,0.73659,0.73659,hold,-0.0005999999999999559,-0.026540000000000362
4696,2022-03-11 02:15:00,0.73617,0.73617,0.73555,0.73561,0.73617,0.73617,sell,-0.001,-0.027540000000000363
4697,2022-03-11 02:30:00,0.73562,0.73597,0.73562,0.7357,0.73562,0.73563,hold,0,-0.027540000000000363
4698,2022-03-11 02:45:00,0.7357,0.73579,0.73491,0.73503,0.7357,0.7357,short,0,-0.027540000000000363
4699,2022-03-11 03:00:00,0.73504,0.73513,0.73417,0.73447,0.73504,0.73505,hold,0.00036000000000000496,-0.027540000000000363
4700,2022-03-11 03:15:00,0.73445,0.73486,0.73379,0.73399,0.73445,0.73446,hold,0.0008399999999999299,-0.027540000000000363
4701,2022-03-11 03:30:00,0.73398,0.73419,0.73379,0.73381,0.73398,0.73399,hold,0.0010199999999999988,-0.027540000000000363
4702,2022-03-11 03:45:00,0.73381,0.73411,0.7337,0.73401,0.73381,0.73381,hold,0.0008199999999999099,-0.027540000000000363
4703,2022-03-11 04:00:00,0.73403,0.73431,0.734,0.73412,0.73403,0.73404,hold,0.0007099999999999664,-0.027540000000000363
4704,2022-03-11 04:15:00,0.73413,0.73424,0.73361,0.73399,0.73413,0.73414,hold,0.0008399999999999299,-0.027540000000000363
4705,2022-03-11 04:30:00,0.734,0.73414,0.73369,0.73377,0.734,0.73401,hold,0.0010599999999999278,-0.027540000000000363
4706,2022-03-11 04:45:00,0.73374,0.73388,0.73346,0.73375,0.73374,0.73375,hold,0.0010799999999999478,-0.027540000000000363
4707,2022-03-11 05:00:00,0.73375,0.7341,0.73372,0.73383,0.73375,0.73376,hold,0.0009999999999999788,-0.027540000000000363
4708,2022-03-11 05:15:00,0.73383,0.73403,0.7338,0.73385,0.73383,0.73384,hold,0.0009799999999999588,-0.027540000000000363
4709,2022-03-11 05:30:00,0.73384,0.73404,0.73379,0.73402,0.73384,0.73386,hold,0.0008099999999999554,-0.027540000000000363
4710,2022-03-11 05:45:00,0.73404,0.73458,0.73394,0.73447,0.73404,0.73404,hold,0.00036000000000000496,-0.027540000000000363
4711,2022-03-11 06:00:00,0.73446,0.73454,0.73431,0.73431,0.73446,0.73448,hold,0.0005199999999999429,-0.027540000000000363
4712,2022-03-11 06:15:00,0.7343,0.73434,0.73402,0.73419,0.7343,0.73432,hold,0.0006399999999999519,-0.027540000000000363
4713,2022-03-11 06:30:00,0.73419,0.73424,0.7336,0.73369,0.73419,0.73421,hold,0.0011400000000000078,-0.027540000000000363
4714,2022-03-11 06:45:00,0.73368,0.73378,0.7335,0.73353,0.73368,0.73368,hold,0.0012999999999999457,-0.027540000000000363
4715,2022-03-11 07:00:00,0.73355,0.7339,0.73334,0.73362,0.73355,0.73355,hold,0.0012099999999999112,-0.027540000000000363
4716,2022-03-11 07:15:00,0.73362,0.73362,0.73283,0.73283,0.73362,0.73362,hold,0.0019999999999999797,-0.027540000000000363
4717,2022-03-11 07:30:00,0.73284,0.73342,0.73284,0.73324,0.73284,0.73285,hold,0.0015899999999999582,-0.027540000000000363
4718,2022-03-11 07:45:00,0.73323,0.73394,0.73316,0.73382,0.73323,0.73324,hold,0.0010099999999999333,-0.027540000000000363
4719,2022-03-11 08:00:00,0.73382,0.73516,0.73357,0.73484,0.73382,0.73384,hold,-1.0000000000087548e-05,-0.027540000000000363
4720,2022-03-11 08:15:00,0.73484,0.73523,0.73474,0.73523,0.73484,0.73485,hold,-0.000400000000000089,-0.027540000000000363
4721,2022-03-11 08:30:00,0.73522,0.73523,0.73461,0.73512,0.73522,0.73525,short_buy,-0.0002900000000000345,-0.027830000000000396
4722,2022-03-11 08:45:00,0.73511,0.73523,0.7348,0.73485,0.73511,0.73511,hold,0,-0.027830000000000396
4723,2022-03-11 09:00:00,0.73487,0.73568,0.73487,0.73524,0.73487,0.73491,hold,0,-0.027830000000000396
4724,2022-03-11 09:15:00,0.73524,0.7353,0.73437,0.73465,0.73524,0.73525,hold,0,-0.027830000000000396
4725,2022-03-11 09:30:00,0.73465,0.73488,0.73424,0.73488,0.73465,0.73466,hold,0,-0.027830000000000396
4726,2022-03-11 09:45:00,0.73488,0.73551,0.7343,0.73458,0.73488,0.73488,hold,0,-0.027830000000000396
4727,2022-03-11 10:00:00,0.7346,0.73466,0.73386,0.734,0.7346,0.7346,hold,0,-0.027830000000000396
4728,2022-03-11 10:15:00,0.73401,0.73403,0.73326,0.73339,0.73401,0.73401,hold,0,-0.027830000000000396
4729,2022-03-11 10:30:00,0.73338,0.73355,0.73285,0.73324,0.73338,0.73339,short,0,-0.027830000000000396
4730,2022-03-11 10:45:00,0.73323,0.73341,0.73245,0.7327,0.73323,0.73323,hold,0.00033999999999998495,-0.027830000000000396
4731,2022-03-11 11:00:00,0.73269,0.73287,0.73201,0.73279,0.73269,0.73271,hold,0.00024999999999995046,-0.027830000000000396
4732,2022-03-11 11:15:00,0.73277,0.73316,0.73245,0.73246,0.73277,0.73278,hold,0.0005800000000000029,-0.027830000000000396
