time,open,high,low,close,bid,ask,signal,action,position,P/L,Total profit
2022-05-16 08:30:00+00:00,1.29673,1.29674,1.29558,1.29559,1.29673,1.2968,0.0,hold,-1.0,-0.00024000000000001798,0.2630299999999992
2022-05-16 08:45:00+00:00,1.2956,1.29639,1.29534,1.29585,1.2956,1.29563,0.0,hold,-1.0,0.0009299999999998754,0.2630299999999992
2022-05-16 09:30:00+00:00,1.29606,1.29658,1.29534,1.29657,1.29606,1.29616,0.0,hold,-1.0,0.00039999999999995595,0.2630299999999992
2022-05-16 09:45:00+00:00,1.29658,1.29676,1.29587,1.29609,1.29658,1.29663,0.0,hold,-1.0,-7.00000000000145e-05,0.2630299999999992
2022-05-16 10:00:00+00:00,1.29605,1.29685,1.29591,1.29631,1.29605,1.29609,0.0,hold,-1.0,0.00046999999999997044,0.2630299999999992
2022-05-16 10:15:00+00:00,1.29631,1.29667,1.29391,1.29432,1.29631,1.29634,0.0,hold,-1.0,0.00021999999999988695,0.2630299999999992
2022-05-16 10:30:00+00:00,1.29432,1.29468,1.29367,1.2941,1.29432,1.29436,0.0,close short,0.0,0.002,0.2650299999999992
2022-05-16 10:45:00+00:00,1.29409,1.29438,1.2935,1.29433,1.29409,1.29415,0.0,hold,0.0,0.0,0.2650299999999992
2022-05-16 11:15:00+00:00,1.29312,1.29331,1.29268,1.29304,1.29312,1.29317,0.0,hold,0.0,0.0,0.2650299999999992
2022-05-16 11:30:00+00:00,1.29304,1.29342,1.29268,1.29299,1.29304,1.29307,0.0,hold,0.0,0.0,0.2650299999999992
2022-05-16 11:45:00+00:00,1.29298,1.29299,1.29202,1.29229,1.29298,1.29302,0.0,hold,0.0,0.0,0.2650299999999992
2022-05-16 12:00:00+00:00,1.29228,1.29292,1.29196,1.2928,1.29228,1.29232,0.0,hold,0.0,0.0,0.2650299999999992
2022-05-16 12:15:00+00:00,1.2928,1.29322,1.29242,1.29304,1.2928,1.29283,0.0,hold,0.0,0.0,0.2650299999999992
2022-05-16 12:30:00+00:00,1.29304,1.29354,1.29261,1.29352,1.29304,1.2931,0.0,hold,0.0,0.0,0.2650299999999992
2022-05-16 12:45:00+00:00,1.29353,1.29424,1.29334,1.29411,1.29353,1.29358,1.0,buy,1.0,0.0,0.2650299999999992
2022-05-16 13:00:00+00:00,1.29412,1.29412,1.29284,1.29297,1.29412,1.29415,0.0,hold,1.0,0.0005399999999999849,0.2650299999999992
2022-05-16 13:15:00+00:00,1.29296,1.29338,1.2924,1.29256,1.29296,1.293,0.0,hold,1.0,-0.0006199999999998429,0.2650299999999992
2022-05-16 13:30:00+00:00,1.29256,1.29294,1.29247,1.29284,1.29256,1.29263,0.0,close long,0.0,-0.001,0.2640299999999992
2022-05-16 13:45:00+00:00,1.29283,1.29295,1.29219,1.29243,1.29283,1.29283,0.0,hold,0.0,0.0,0.2640299999999992
2022-05-16 14:00:00+00:00,1.29242,1.29252,1.29168,1.29191,1.29242,1.29246,-1.0,short,-1.0,0.0,0.2640299999999992
2022-05-16 14:15:00+00:00,1.2919,1.29236,1.29174,1.29228,1.2919,1.29194,0.0,hold,-1.0,0.0004799999999998139,0.2640299999999992
2022-05-16 14:30:00+00:00,1.2923,1.29301,1.29219,1.2922,1.2923,1.29231,0.0,hold,-1.0,0.00010999999999983245,0.2640299999999992
2022-05-16 14:45:00+00:00,1.2922,1.29268,1.29208,1.29264,1.2922,1.29222,0.0,hold,-1.0,0.00019999999999997797,0.2640299999999992
2022-05-16 15:00:00+00:00,1.29263,1.29296,1.29218,1.29268,1.29263,1.29267,0.0,hold,-1.0,-0.0002500000000000835,0.2640299999999992
2022-05-16 15:15:00+00:00,1.29267,1.29332,1.29243,1.29257,1.29267,1.29272,0.0,hold,-1.0,-0.000300000000000189,0.2640299999999992
2022-05-16 15:30:00+00:00,1.29262,1.29299,1.29216,1.2924,1.29262,1.29269,0.0,hold,-1.0,-0.00026999999999999247,0.2640299999999992
2022-05-16 15:45:00+00:00,1.29239,1.29276,1.292,1.29232,1.29239,1.29243,0.0,hold,-1.0,-1.0000000000065512e-05,0.2640299999999992
2022-05-16 16:00:00+00:00,1.29232,1.29241,1.29168,1.29234,1.29232,1.29235,0.0,hold,-1.0,6.999999999979245e-05,0.2640299999999992
2022-05-16 16:15:00+00:00,1.29234,1.29275,1.29207,1.29216,1.29234,1.29234,0.0,hold,-1.0,7.999999999985796e-05,0.2640299999999992
2022-05-16 16:30:00+00:00,1.29215,1.29215,1.29003,1.29096,1.29215,1.29215,0.0,hold,-1.0,0.00026999999999999247,0.2640299999999992
2022-05-16 16:45:00+00:00,1.29098,1.29296,1.29086,1.29201,1.29098,1.29098,0.0,hold,-1.0,0.0014399999999998858,0.2640299999999992
2022-05-16 17:00:00+00:00,1.29201,1.29277,1.28968,1.29056,1.29201,1.29203,0.0,hold,-1.0,0.00038999999999989043,0.2640299999999992
2022-05-16 17:15:00+00:00,1.29063,1.29083,1.28867,1.28878,1.29063,1.29065,0.0,hold,-1.0,0.0017699999999998273,0.2640299999999992
2022-05-16 17:30:00+00:00,1.28877,1.2905,1.28875,1.29019,1.28877,1.28879,0.0,close short,0.0,0.002,0.2660299999999992
2022-05-16 17:45:00+00:00,1.29022,1.29188,1.29019,1.29084,1.29022,1.29025,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 18:00:00+00:00,1.29084,1.29165,1.29084,1.29112,1.29084,1.29085,0.0,hold,0.0,0.0,0.2660299999999992
2022-05-16 18:15:00+00:00,1.29116,1.29148,1.2903,1.29086,1.29116,1.29116,0.0,hold,0.0,0.0,0.2660299999999992
